LGA NAME,Count
Alpine (S),13
Ararat (RC),13
Ballarat (C),46
Banyule (C),44
Bass Coast (S),12
Baw Baw (S),37
Bayside (C),28
Benalla (RC),9
Boroondara (C),56
Brimbank (C),59
Buloke (S),10
Campaspe (S),26
Cardinia (S),33
Casey (C),73
Central Goldfields (S),8
Colac-Otway (S),17
Corangamite (S),14
Darebin (C),43
East Gippsland (S),38
Frankston (C),41
Gannawarra (S),13
Glen Eira (C),39
Glenelg (S),18
Golden Plains (S),12
Greater Bendigo (C),51
Greater Dandenong (C),42
Greater Geelong (C),81
Greater Shepparton (C),42
Hepburn (S),14
Hindmarsh (S),8
Hobsons Bay (C),28
Horsham (RC),9
Hume (C),56
Indigo (S),17
Kingston (C),45
Knox (C),47
Latrobe (C),37
Loddon (S),9
Macedon Ranges (S),27
Manningham (C),31
Mansfield (S),7
Maribyrnong (C),22
Maroondah (C),33
Melbourne (C),23
Melton (C),33
Mildura (RC),33
Mitchell (S),18
Moira (S),22
Monash (C),55
Moonee Valley (C),39
Moorabool (S),20
Moreland (C),44
Mornington Peninsula (S),49
Mount Alexander (S),17
Moyne (S),13
Murrindindi (S),17
Nillumbik (S),28
Northern Grampians (S),13
Port Phillip (C),17
Pyrenees (S),9
Queenscliffe (B),3
Southern Grampians (S),18
South Gippsland (S),22
Stonnington (C),24
Strathbogie (S),8
Surf Coast (S),10
Swan Hill (RC),16
Towong (S),11
Unincorporated Vic,2
Wangaratta (RC),24
Warrnambool (C),15
Wellington (S),36
West Wimmera (S),5
Whitehorse (C),52
Whittlesea (C),45
Wodonga (C),16
Wyndham (C),45
Yarra (C),27
Yarra Ranges (S),81
Yarriambiack (S),14
